Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.00, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.00, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.01, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.01, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.01, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.02, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.02, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.02, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.03, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.03, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.03, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.04, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.04, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.04, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.05, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.05, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.05, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.06, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.06, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.06, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.07, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.07, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.07, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.08, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.08, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.08, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.09, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.09, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.09, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.10, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.10, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.10, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.11, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.11, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.11, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.12, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.12, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.12, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.13, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.13, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.13, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.14, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.14, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.14, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.15, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.15, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.15, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.16, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.16, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.16, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.17, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.17, 150.00, 150.00, -0.00, 0.01, 0.15
3, 0.17, 149.88, 149.99, -0.00, -1.39, -0.12
1, 0.18, 150.00, 149.99, -0.00, 0.07, -0.21
2, 0.18, 150.00, 150.00, -0.00, 0.01, 0.15
