Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.00, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.00, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.01, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.01, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.01, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.02, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.02, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.02, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.03, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.03, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.03, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.04, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.04, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.04, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.05, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.05, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.05, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.06, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.06, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.06, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.07, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.07, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.07, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.08, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.08, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.08, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.09, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.09, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.09, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.10, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.10, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.10, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.11, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.11, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.11, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.12, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.12, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.12, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.13, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.13, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.13, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.14, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.14, 100.00, 150.01, -0.00, -0.18, -0.09
3, 0.14, 99.99, 149.98, -0.00, -0.34, -0.34
1, 0.15, 99.99, 150.00, -0.00, 0.22, 0.22
2, 0.15, 100.00, 150.01, -0.00, -0.18, -0.09
