Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.00, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.00, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.01, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.01, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.01, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.02, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.02, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.02, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.03, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.03, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.03, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.04, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.04, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.04, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.05, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.05, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.05, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.06, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.06, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.06, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.07, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.07, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.07, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.08, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.08, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.08, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.09, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.09, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.09, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.10, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.10, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.10, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.11, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.11, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.11, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.12, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.12, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.12, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.13, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.13, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.13, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.14, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.14, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.14, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.15, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.15, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.15, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.16, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.16, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.16, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.17, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.17, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.17, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.18, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.18, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.18, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.19, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.19, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.19, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.20, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.20, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.20, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.21, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.21, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.21, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.22, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.22, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.22, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.23, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.23, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.23, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.24, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.24, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.24, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.25, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.25, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.25, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.26, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.26, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.26, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.27, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.27, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.27, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.28, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.28, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.28, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.29, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.29, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.29, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.30, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.30, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.30, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.31, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.31, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.31, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.32, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.32, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.32, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.33, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.33, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.33, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.34, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.34, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.34, 200.00, 200.00, -0.00, -0.01, 0.08
1, 0.35, 200.11, 200.02, -0.00, 0.57, 0.09
2, 0.35, 200.00, 200.01, -0.00, 0.04, -0.02
3, 0.35, 200.00, 200.00, -0.00, -0.01, 0.08
